"NZAu_maj","name","type","bin_number","cf_wLL_2020_nzau","cf_wLL_2020_rerun","tx_cost_per_kw_2021_nzau","tx_cost_per_kw_2021_rerun","capex_per_kw_2021_nzau","capex_per_kw_2021_rerun","NZAu_GW","Case1_GW","Case2_GW","Case3_GW","2025","2030","2035","2040","2045","2050","2055","2060","type_b","EP2060","CASE1","CASE2","CASE3"
"qld-north","offshore wind|5","offshore",5,0.371,0.399,1682,1755,2817.119,2692.837,57.071,57.066,57.071,58.84,0,2e-04,3e-04,3e-04,4e-04,5e-04,5e-04,4e-04,"OFF[5]","0 (0.371, 1682)","57 (0.399, 1755)","57 (0.399, 1755)","59 (0.399, 1755)"
"qld-north","onshore wind|1","onshore",1,0.311,0.315,353,391,2023.187,2023.187,27.849,20.325,27.849,33.383,0.0048,0.0075,0.0099,0.0099,0.0099,0.0099,0.0051,0.0024,"ON [1]","0 (0.311, 353)","20 (0.315, 391)","28 (0.315, 391)","33 (0.315, 391)"
"qld-north","onshore wind|2","onshore",2,0.319,0.317,635,648,2023.187,2023.187,68.89,35.497,68.89,78.287,0.0011,0.0015,0.0023,0.0023,0.0023,0.0023,0.0013,8e-04,"ON [2]","0 (0.319, 635)","35 (0.317, 648)","69 (0.317, 648)","78 (0.317, 648)"
"qld-north","onshore wind|3","onshore",3,0.279,0.281,184,215,2023.187,2023.187,23.739,20.051,23.461,30.335,6e-04,0.001,0.0017,0.0017,0.0017,0.0017,0.0011,7e-04,"ON [3]","0 (0.279, 184)","20 (0.281, 215)","23 (0.281, 215)","30 (0.281, 215)"
"qld-north","onshore wind|4","onshore",4,0.27,0.27,407,413,2023.187,2023.187,63.377,56.035,63.373,72.44,4e-04,7e-04,9e-04,9e-04,0.001,0.001,8e-04,5e-04,"ON [4]","0 (0.27, 407)","56 (0.27, 413)","63 (0.27, 413)","72 (0.27, 413)"
"qld-north","onshore wind|5","onshore",5,0.269,0.269,661,659,2023.187,2023.187,95.87,83.72,95.869,110.635,3e-04,6e-04,8e-04,8e-04,8e-04,9e-04,6e-04,5e-04,"ON [5]","0 (0.269, 661)","84 (0.269, 659)","96 (0.269, 659)","111 (0.269, 659)"
"nt","large-scale solar pv|1","solar",1,0.284,0.284,321,336,1560.685,1560.685,114.014,27.443,105.438,130.978,0.0025,0.0026,0.0055,0.0093,0.0099,0.0105,0.0085,0.0092,"PV [1]","0 (0.284, 321)","27 (0.284, 336)","105 (0.284, 336)","131 (0.284, 336)"
"nt","large-scale solar pv|2","solar",2,0.281,0.281,210,220,1560.685,1560.685,78.041,31.141,76.698,100.007,0.4746,1.1835,1.8895,4.5153,11.947,19.3785,19.1824,18.6646,"PV [2]","19 (0.281, 210)","31 (0.281, 220)","77 (0.281, 220)","100 (0.281, 220)"
"nt","offshore wind|3","offshore",3,0.446,0.419,1066,1084,3108.124,3054.055,103.762,103.758,103.758,103.762,0,3e-04,5e-04,0.0028,0.0056,0.0061,0.0061,0.0058,"OFF[3]","0 (0.446, 1066)","104 (0.419, 1084)","104 (0.419, 1084)","104 (0.419, 1084)"
"nt","offshore wind|4","offshore",4,0.45,0.465,1624,1712,3059.887,3121.218,7.48,7.48,7.48,7.48,0,3e-04,5e-04,0.0017,0.0026,0.0034,0.0034,0.0031,"OFF[4]","0 (0.45, 1624)","7 (0.465, 1712)","7 (0.465, 1712)","7 (0.465, 1712)"
