OBJECTID,NZAU,VALUE_0,VALUE_1
1,ex-nt,200400812500.000000000000000,50925875000.000000000000000
2,ex-qld,336029937500.000000000000000,26114875000.000000000000000
3,ex-sa,93957437500.000000000000000,50008937500.000000000000000
4,ex-wa,342978000000.000000000000000,76488187500.000000000000000
5,ex-nsw,107283812500.000000000000000,18379625000.000000000000000
6,wa-south,370136875000.000000000000000,185020062500.000000000000000
7,wa-central,674294687500.000000000000000,371143312500.000000000000000
8,wa-north,596122000000.000000000000000,329928812500.000000000000000
9,nt,949099625000.000000000000000,399220687500.000000000000000
10,qld-north,511415625000.000000000000000,207887562500.000000000000000
11,qld-outback,602789187500.000000000000000,90576125000.000000000000000
12,qld-south,200519812500.000000000000000,117110187500.000000000000000
13,nsw-north,85082062500.000000000000000,79123562500.000000000000000
14,nsw-central,51908312500.000000000000000,51491812500.000000000000000
15,nsw-south,121086375000.000000000000000,75363750000.000000000000000
16,nsw-outback,274884687500.000000000000000,64206437500.000000000000000
17,vic-east,7567625000.000000000000000,33986312500.000000000000000
18,vic-west,76490812500.000000000000000,109450062500.000000000000000
19,tas,8623375000.000000000000000,59391250000.000000000000000
20,sa,500362437500.000000000000000,483660937500.000000000000000
21,aus_max,8623375000.000000000000000,59391250000.000000000000000
22,aus_min,8623375000.000000000000000,59391250000.000000000000000
