"OIDcom","m_cf_noloss","incap","NZAu_maj","export","bin","TXlength_km","TXcost_maud2021","m_elev","NZAu_site","txAll_aud_kw","TXcost_maud2021_spur","TXcost_maud2021_s2l","spurLength_km","TXspurType","TXspurTypeMax_MW","TXbulkSinkType","SA2oid","lcoe2050_maud2021_mwh"
9496,0.296698792976468,1072.575,"ex-qld",1,4,3.7674484863,29.0681281286406,360.390969162997,"qld-outback",27.1012545776664,29.0681281286406,0,119.416734375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,48.7937852786746
8236,0.283367772406684,1076.79375,"ex-wa",1,4,6.54865625,32.8320780975061,378.871806926814,"wa-north",30.4905912552948,32.8320780975061,0,115.4737890625,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,52.4042827511059
6377,0.296339815054089,1080,"ex-wa",1,4,9.2662119141,36.361158005991,555.590781250001,"wa-central",33.6677388944361,36.361158005991,0,180.841328125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,50.1585873162085
5439,0.294488788818575,654.75,"ex-wa",1,4,5.3788740234,22.8983122658983,182.486597938144,"wa-central",34.9726036898027,22.8983122658983,0,241.264625,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",201,50.4781084859444
7501,0.280558098003798,1054.0125,"ex-qld",1,4,11.6543974609,37.8826708165736,221.157220621198,"qld-outback",35.9413866691084,37.8826708165736,0,84.72453125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",205,50.6846327444698
7499,0.28250884871183,1070.55,"ex-qld",1,4,13.6011679688,40.8048563102127,217.439155107188,"qld-outback",38.1157875019501,40.8048563102127,0,104.3642265625,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",205,51.4207060673471
6378,0.302907715681939,1080,"ex-wa",1,4,13.2549833984,41.870760442029,556.231874999999,"wa-central",38.7692226315083,41.870760442029,0,295.749875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,49.1457058283942
9498,0.317977138344964,1068.35625,"ex-qld",1,4,15.3663017578,43.2403436863378,449.465961143579,"qld-outback",40.4737124777787,43.2403436863378,0,104.1232734375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,45.7176092042056
5381,0.300126181712664,1058.90625,"ex-qld",1,4,15.3578339844,43.4457073072813,276.243824701196,"qld-outback",41.0288515222961,43.4457073072813,0,352.0736875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",207,49.6356255243165
9398,0.294031336371221,1076.9625,"ex-qld",1,4,16.0211337891,44.4266267763943,337.863209025384,"qld-outback",41.2517861823363,44.4266267763943,0,99.7220078125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,49.4526740540601
10651,0.28063809342278,817.93125,"ex-nt",1,4,10.3082470703,33.8093238931688,367.249432638745,"wa-north",41.3351658750888,33.8093238931688,0,381.71321875,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",203,53.0698111726568
5254,0.29795306446671,1052.83125,"ex-qld",1,4,15.7037734375,43.7416490362838,270.85205962494,"qld-outback",41.5466856975264,43.7416490362838,0,404.60621875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",207,50.0051715985709
1907,0.295083268815893,699.975,"ex-sa",1,4,11.0876142578,29.3018103082415,105.250241080039,"sa",41.8612240554899,29.3018103082415,0,43.7860039062,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",209,48.6370873484871
6281,0.29415935500597,980.26875,"ex-wa",1,4,19.3963632812,44.6366650711148,513.738337063176,"wa-central",45.5351301070393,44.6366650711148,0,305.50309375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,50.7120709589461
9495,0.289394463496679,1076.79375,"ex-qld",1,4,20.8009355469,50.9259053950442,329.371258423446,"qld-outback",47.2940202290775,50.9259053950442,0,145.2903125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,50.337532261316
6280,0.286734028307024,873.95625,"ex-wa",1,4,15.3026845703,41.6707411480721,489.292913689901,"wa-central",47.6805802899998,41.6707411480721,0,319.75475,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",200,52.0398583242947
8358,0.280860534912564,1074.76875,"ex-wa",1,4,21.5159375,51.4008894270039,364.364578426754,"wa-north",47.8250688131786,51.4008894270039,0,124.21428125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,53.1505911591602
9399,0.302214225953596,1060.59375,"ex-qld",1,4,21.8927539062,50.9626963553199,371.840254574383,"qld-outback",48.0511000138554,50.9626963553199,0,84.6748828125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,48.2148217785342
8102,0.289730028624546,1073.925,"ex-wa",1,4,22.7093691406,52.931722583506,404.857008170963,"wa-north",49.2880998053923,52.931722583506,0,105.028953125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,51.5460788934942
2036,0.297063187650236,658.8,"ex-sa",1,4,17.2400351562,32.587107731278,105.72925204918,"sa",49.4643408185761,32.587107731278,0,47.689734375,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",209,48.4264574700403
9593,0.306513941625645,1072.40625,"ex-qld",1,4,23.7618808594,53.5450731702452,429.616365066876,"qld-outback",49.9298406459727,53.5450731702452,0,135.411046875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,47.5667743706905
10541,0.288601033334197,1021.78125,"ex-nt",1,4,23.6357734375,52.1099770908579,367.836663914121,"wa-north",50.9991518153791,52.1099770908579,0,359.76309375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",203,51.772733786146
1767,0.298866190591691,1009.4625,"ex-sa",1,4,24.9628417969,51.7609200977782,116.518890003343,"sa",51.275723563558,51.7609200977782,0,45.3294609375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",209,48.1799621576946
1906,0.294722772132903,459.3375,"ex-sa",1,4,6.5879506836,23.5639257848981,103.619397501837,"sa",51.2998084957098,23.5639257848981,0,54.6209726562,"330kV_HVAC_single__600MW",600,"330kV_HVAC_double__1200MW",209,48.8018066837336
5384,0.297769463382851,887.9625,"ex-qld",1,4,18.1389472656,45.5770305989213,303.017103762828,"qld-outback",51.3276524615863,45.5770305989213,0,350.06940625,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",207,50.1655713270134
10763,0.281858912617192,965.41875,"ex-nt",1,4,23.7285898438,49.5910256688422,401.948610382801,"wa-north",51.3673736591942,49.5910256688422,0,372.5405,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",203,53.0163073193968
8237,0.294045823457915,598.55625,"ex-wa",1,4,6.7735698242,31.0689554368546,362.901888920214,"wa-north",51.9064923920762,31.0689554368546,0,128.0816171875,"330kV_HVAC_single__600MW",600,"330kV_HVAC_double__1200MW",202,50.7722556928491
9397,0.29685204664455,1076.79375,"ex-qld",1,4,26.0549277344,57.4300826798912,287.925403541764,"qld-outback",53.3343387996923,57.4300826798912,0,124.984015625,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,49.1645927028037
5305,0.29885726202008,764.4375,"ex-wa",1,4,19.7032480469,40.9415246311994,188.705077262693,"wa-central",53.5577135229491,40.9415246311994,0,260.5815625,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",201,50.0155546193565
8235,0.294418330891432,1070.2125,"ex-wa",1,4,26.5639160156,57.4522476467067,418.273888363292,"wa-north",53.6830280404188,57.4522476467067,0,97.046171875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,50.7928972625632
5304,0.297574413892895,749.08125,"ex-wa",1,4,21.1198925781,41.3517336421134,153.72493804911,"wa-central",55.2032688605053,41.3517336421134,0,274.02046875,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",201,50.2561404480909
6376,0.297631614185454,1077.975,"ex-wa",1,4,28.0040507812,60.0319602802299,553.131340012523,"wa-central",55.6895663445163,60.0319602802299,0,176.94290625,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,50.2740845585164
7360,0.285282624102084,902.8125,"ex-qld",1,4,22.1669921875,50.4617311653089,222.802429906542,"qld-outback",55.8939216784315,50.4617311653089,0,84.321234375,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",205,51.1793782016403
2037,0.29649840118337,832.6125,"ex-sa",1,4,22.4268535156,46.787699071841,105.306039724362,"sa",56.1938465634867,46.787699071841,0,26.4208203125,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",209,48.618674084676
5379,0.294073462711723,1070.71875,"ex-qld",1,4,28.6659082031,60.8128834234008,252.351300236406,"qld-outback",56.7963187563501,60.8128834234008,0,363.28409375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",207,50.8984597737228
5256,0.294180989988209,744.525,"ex-qld",1,4,23.3264785156,42.9362999492315,279.111514052584,"qld-outback",57.6693864534186,42.9362999492315,0,369.13921875,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",207,50.8739756310014
5441,0.297307559382508,1071.05625,"ex-wa",1,4,31.4292246094,63.2474686476036,219.082558689144,"wa-central",59.0514911309314,63.2474686476036,0,248.415171875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",201,50.3816435611173
8359,0.293991600612109,732.88125,"ex-wa",1,4,24.1728476562,43.3741817040115,345.043518305319,"wa-north",59.1830964484512,43.3741817040115,0,140.18015625,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",202,50.9285585490528
9590,0.292077680447611,1070.71875,"ex-qld",1,4,31.7099238281,64.0465549386011,366.71867612293,"qld-outback",59.8164129829623,64.0465549386011,0,165.382125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,50.0683296997636
6279,0.288838819484408,1073.5875,"ex-wa",1,4,31.7637304688,65.0152104821123,524.24300534423,"wa-central",60.5588370599623,65.0152104821123,0,196.71296875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,51.8793080860631
6476,0.293910386669742,936.5625,"ex-wa",1,4,27.2194003906,59.1701981116055,520.57261261261,"wa-central",63.1780560417543,59.1701981116055,0,183.19346875,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",200,51.0027987603116
5438,0.298301392943082,302.90625,"ex-wa",1,4,2.5256433105,19.3478524474649,171.926462395543,"wa-central",63.8740615205692,19.3478524474649,0,249.007984375,"275kV_HVAC_single__400MW",400,"330kV_HVAC_double__1200MW",201,50.1835737797495
1768,0.298437901589779,1046.41875,"ex-sa",1,4,36.6936757812,67.487192467694,112.402031930334,"sa",64.4934854881891,67.487192467694,0,27.4764335938,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",209,48.4490271374526
1908,0.298528634286657,809.49375,"ex-sa",1,4,29.45190625,52.6224920336624,95.3168647071083,"sa",65.0066687156786,52.6224920336624,0,20.0596699219,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",209,48.4188559295345
6282,0.305135700091508,965.08125,"ex-wa",1,4,36.7360859375,63.5608495312108,545.870082182199,"wa-central",65.860620057856,63.5608495312108,0,283.92509375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,49.1883146848287
6181,0.286046461445345,1055.53125,"ex-wa",1,4,37.3293632812,69.9005269342401,456.709192645883,"wa-central",66.2230767059148,69.9005269342401,0,338.16440625,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,52.4775347214866
5385,0.294381025805926,867.0375,"ex-qld",1,4,29.9416816406,57.5420344768777,314.988322304399,"qld-outback",66.3662580648216,57.5420344768777,0,364.08334375,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",207,50.8490953571731
2038,0.294660713000796,614.41875,"ex-sa",1,4,30.7200546875,40.9287850175585,100.166437791815,"sa",66.613828138478,40.9287850175585,0,17.0550566406,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",209,49.0785800156775
7359,0.283175405719465,1002.375,"ex-qld",1,4,38.5338203125,67.0067739228879,201.788888888889,"qld-outback",66.8480098993769,67.0067739228879,0,102.2713984375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",205,51.7566277258595
7766,0.281436368437421,1017.225,"ex-qld",1,4,39.0600429688,68.2378191329121,208.626575978766,"qld-north",67.082326066418,68.2378191329121,0,136.32290625,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",205,49.4463364117083
8357,0.289091802848076,1052.83125,"ex-wa",1,4,37.9999882812,71.0604531813889,379.251322327295,"wa-north",67.4946276351399,71.0604531813889,0,103.42103125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,51.94325136916
5183,0.299507947163656,1080,"ex-wa",1,4,38.5293984375,73.0303411390168,158.26609375,"wa-central",67.6206862398303,73.0303411390168,0,294.04328125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",201,50.1400120962733
10762,0.282466335069334,1077.975,"ex-nt",1,4,37.1319609375,72.9801350376706,381.809643080777,"wa-north",67.7011387440994,72.9801350376706,0,356.9159375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",203,53.1614651109706
9278,0.285351812859779,992.41875,"ex-qld",1,4,38.80253125,67.2484915020253,267.364223771468,"qld-outback",67.762213785285,67.2484915020253,0,79.5508828125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,51.3746477135937
6379,0.306895500551828,841.3875,"ex-wa",1,4,30.9037226562,57.1663555393515,557.097874047333,"wa-central",67.9429579585524,57.1663555393515,0,278.59853125,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",200,48.9137194671398
