"OIDcom","m_cf_noloss","incap","NZAu_maj","export","bin","TXlength_km","TXcost_maud2021","m_elev","NZAu_site","txAll_aud_kw","TXcost_maud2021_spur","TXcost_maud2021_s2l","spurLength_km","TXspurType","TXspurTypeMax_MW","TXbulkSinkType","SA2oid","lcoe2050_maud2021_mwh"
2501,0.650311511176771,2295.9666082764,"ex-wa",1,4,317.69821875,1100.14708925276,-112.702239789196,NA,479.1651086244,1100.14708925276,0,398.994125,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,71.4540973792915
2481,0.652198556100528,2327.6,"ex-wa",1,4,303.57940625,1134.30445483265,-129.991611531191,NA,487.327914947865,1134.30445483265,0,384.8753125,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,71.2641247096957
2351,0.61165397182332,2325.125,"ex-wa",1,4,363.46534375,1174.93033995977,-41.0609107037257,NA,505.319215078661,1174.93033995977,0,194.639734375,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,74.6948142698684
2521,0.652662924010283,2323.75,"ex-wa",1,4,336.668125,1187.22619688656,-110.614792899408,NA,510.909605975927,1187.22619688656,0,417.96403125,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,71.4270413032532
2389,0.628377513395075,2327.6,"ex-wa",1,4,346.33465625,1194.53524843725,-56.6551275992438,NA,513.204695152627,1194.53524843725,0,382.5885,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,72.7162936608491
2500,0.652027446895498,2327.6,"ex-wa",1,4,337.47971875,1200.58225915269,-129.002717391304,NA,515.802654731349,1200.58225915269,0,418.77565625,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,71.5274802321381
2332,0.620032336502999,2327.6,"ex-wa",1,4,369.65059375,1213.38989815886,-41.1832466918716,NA,521.305163326542,1213.38989815886,0,200.8590625,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,73.7995488984517
2482,0.648622167896274,2160.90163404006,"ex-wa",1,4,281.13603125,1132.48284589103,-92.2712231131476,NA,524.078851184784,1132.48284589103,0,362.4319375,"500kV_HVDC_2xdouble_subsea__2250MW",2250,"500kV_HVAC_double__3040MW",201,71.8252511393899
2294,0.561920519918377,2250.88915898139,"ex-wa",1,4,412.37428125,1184.85473133146,-32.5783367932593,NA,526.394081469409,1184.85473133146,0,24.8553320312,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,81.5762107167581
2369,0.635787816348277,2327.6,"ex-wa",1,4,363.67428125,1249.15453574132,-53.6382325141776,NA,536.670620270371,1249.15453574132,0,400.0105625,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,72.0506841314116
